Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,03.12.2019 22:42:50,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {381b4222-f694-41f0-9685-ff5bb260df2e} на {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}
Сведения,03.12.2019 22:16:39,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,03.12.2019 22:14:33,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,03.12.2019 22:07:07,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,03.12.2019 22:05:03,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Предупреждение,03.12.2019 22:05:02,Microsoft-Windows-DistributedCOM,10016,Отсутствует,"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 и APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 пользователю YOGATEE\nickk с ИД безопасности (S-1-5-21-2395274981-4090271684-2922072255-1001) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения,03.12.2019 21:42:29,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} на {381b4222-f694-41f0-9685-ff5bb260df2e}
Сведения,03.12.2019 21:22:21,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {381b4222-f694-41f0-9685-ff5bb260df2e} на {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}
Сведения,03.12.2019 21:22:18,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} на {381b4222-f694-41f0-9685-ff5bb260df2e}
Сведения,03.12.2019 21:22:17,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\S-1-5-21-2395274981-4090271684-2922072255-1001\SystemAppData\Helium\UserClasses.dat очищен; обновлено разделов: 7; создано измененных страниц: 1.
Сведения,03.12.2019 21:22:17,Microsoft-Windows-Kernel-General,16,Отсутствует,Журнал доступа в кусте \??\C:\ProgramData\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\S-1-5-21-2395274981-4090271684-2922072255-1001\SystemAppData\Helium\User.dat очищен; обновлено разделов: 1; создано измененных страниц: 1.
Ошибка,03.12.2019 21:02:57,Service Control Manager,7031,Отсутствует,Служба Пользовательская служба push-уведомлений Windows_1bf27f была неожиданно завершена. Это произошло 1 раз(а). Следующее корректирующее действие будет предпринято через 10000 мсек: Перезапуск службы.
Сведения,03.12.2019 21:02:48,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {381b4222-f694-41f0-9685-ff5bb260df2e} на {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}
Сведения,03.12.2019 20:23:30,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,03.12.2019 20:21:22,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,03.12.2019 20:18:35,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎12‎-‎03T17:14:35.761660200Z
Время выхода из спящего режима: ‎2019‎-‎12‎-‎03T17:18:35.317908600Z

Источник выхода: Кнопка питания"
Предупреждение,03.12.2019 20:18:35,BTHUSB,34,Отсутствует,"Локальный адаптер не поддерживает важное состояние контроллера энергосбережения для поддержки режима периферийного устройства. Минимально необходимая маска поддерживаемого состояния — 0x2491f7fffff, получено 0xffffffff. Функция роли периферийного устройства низкого энергопотребления не будет доступна."
Сведения,03.12.2019 20:18:35,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,03.12.2019 20:18:33,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,03.12.2019 20:18:33,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 4, FullResume: 468, AverageResume: 468"
Сведения,03.12.2019 20:18:33,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎12‎-‎03T17:14:45.887865500Z на ‎2019‎-‎12‎-‎03T17:18:33.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,03.12.2019 20:14:45,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,03.12.2019 20:14:44,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,03.12.2019 20:14:36,Microsoft-Windows-Power-Troubleshooter,1,Отсутствует,"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2019‎-‎12‎-‎03T17:14:35.761660200Z
Время выхода из спящего режима: ‎2019‎-‎12‎-‎03T17:14:35.516521200Z

Источник выхода: Кнопка питания"
Предупреждение,03.12.2019 20:14:35,BTHUSB,34,Отсутствует,"Локальный адаптер не поддерживает важное состояние контроллера энергосбережения для поддержки режима периферийного устройства. Минимально необходимая маска поддерживаемого состояния — 0x2491f7fffff, получено 0xffffffff. Функция роли периферийного устройства низкого энергопотребления не будет доступна."
Сведения,03.12.2019 20:14:35,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,03.12.2019 20:14:34,Microsoft-Windows-Kernel-Power,105,(100),Смена источника питания.
Сведения,03.12.2019 20:14:34,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,03.12.2019 20:14:34,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 3, FullResume: 468, AverageResume: 468"
